Sorting Methods/Array Fill Methods/Milliseconds,Insertion Sort,Selection Sort,Bubble Sort,Gnome Sort,Quick Sort,Merge Sort,Built in Sort,Built in Quick Sort
Passed Validation,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed
Random Array,842.209500,1875.400500,17933.986400,13077.684800,6.351200,11.895300,4.166900,7.825100
Increasing Array,834.703500,1873.361600,11819.567800,13012.157700,5.653100,7.353700,3.645100,7.223100
Decreasing Array,838.487300,1881.285600,11877.622500,13026.046400,5.699600,7.450500,3.731700,7.258100
Linear Increasing Array,0.191300,1911.499200,0.057900,0.110700,1.464800,6.941900,0.714100,2.413800
Linear Decreasing Array,1665.408800,1826.446200,21296.695000,26067.427300,1.752000,6.815700,0.456100,2.499000
Repeating Array,0.190200,1915.499200,0.060500,0.112800,0.099900,6.728700,0.588000,0.231200
Almost Random Array,832.885800,1872.040900,17919.657600,13049.779400,6.409100,11.246000,4.215500,7.748800
Almost Increasing Array,831.423700,1875.174000,17105.252000,13030.582200,5.964900,10.267000,4.055000,7.443100
Almost Decreasing Array,833.874000,1882.016500,16547.589800,13064.110100,5.983200,10.500100,4.097500,7.600800
Almost Linear Increasing Array,287.273400,1926.108000,7185.687200,4483.086000,3.433400,8.132900,2.013200,4.455700
Almost Linear Decreasing Array,1379.366600,1908.929700,19994.685200,21598.490300,4.542600,8.337100,2.744800,5.928000
Almost Repeating Array,338.885500,1857.818400,8169.474300,5286.759400,0.410300,7.419800,0.904700,0.702200
